0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00
-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
9.396999999999999797e-01,-1.000000000000000000e+00,-1.000000000000000000e+00
-4.143000000000000016e-01,9.407999999999999696e-01,-1.000000000000000000e+00
-3.810000000000000053e-01,-3.456000000000000183e-01,9.405000000000000027e-01
-9.499999999999999556e-01,-9.499999999999999556e-01,-9.499999999999999556e-01
8.713999999999999524e-01,-4.606000000000000094e-01,-5.693000000000000282e-01
-3.775000000000000022e-01,8.718000000000000194e-01,-5.332999999999999963e-01
-4.485000000000000098e-01,-4.319000000000000061e-01,8.683999999999999497e-01
-9.024999999999999689e-01,-9.024999999999999689e-01,-9.024999999999999689e-01
7.941000000000000281e-01,-5.333999999999999853e-01,-5.033999999999999586e-01
-5.225999999999999535e-01,7.999000000000000554e-01,-5.112999999999999767e-01
-4.995999999999999885e-01,-4.884000000000000008e-01,8.018999999999999462e-01
-8.574000000000000510e-01,-8.574000000000000510e-01,-8.574000000000000510e-01
7.317000000000000171e-01,-6.086000000000000298e-01,-5.684000000000000163e-01
-5.614000000000000101e-01,7.332999999999999519e-01,-5.447999999999999510e-01
-5.590000000000000524e-01,-5.678999999999999604e-01,7.347000000000000197e-01
-8.145000000000000018e-01,-8.145000000000000018e-01,-8.145000000000000018e-01
6.807999999999999607e-01,-6.754999999999999893e-01,-6.790000000000000480e-01
-6.167000000000000259e-01,6.783000000000000140e-01,-6.697999999999999510e-01
-6.157000000000000250e-01,-6.179999999999999938e-01,6.752000000000000224e-01
-7.738000000000000433e-01,-7.738000000000000433e-01,-7.738000000000000433e-01
6.342999999999999750e-01,-7.223000000000000531e-01,-7.175000000000000266e-01
-6.458000000000000407e-01,6.360000000000000098e-01,-7.237000000000000099e-01
-6.555999999999999606e-01,-6.461999999999999966e-01,6.350000000000000089e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.019999999999999796e-01,-7.349999999999999867e-01,-7.350999999999999757e-01
